Name,NCBI Genome,RefSeq FTP,GenBank FTP,Size (Mb),PEG,Repeat Regions,RNA,tRNA,rRNA,GC%,Genome Length,Proteins,Isolation Country,cagA,vacA
Helicobacter pylori 13-A-EK8,582937,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/545/GCF_006338545.1_ASM633854v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/545/GCA_006338545.1_ASM633854v1,1.6193,1636,60,40,34,6,39.1,1619300,1435/582937,Germany,ABCC,s1 m1
Helicobacter pylori 169-A-EK5,582930,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/625/GCF_006337625.1_ASM633762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/625/GCA_006337625.1_ASM633762v1,1.61019,1616,43,41,35,6,39,1610187,1426/582930,Germany,,s2 m2
Helicobacter pylori 169-C-EK8,582922,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/345/GCF_006337345.1_ASM633734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/345/GCA_006337345.1_ASM633734v1,1.61163,1616,45,41,35,6,39,1611628,1425/582922,Germany,,s2 m2
Helicobacter pylori 173-A-EK1,582929,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/485/GCF_006337485.1_ASM633748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/485/GCA_006337485.1_ASM633748v1,1.69072,1679,56,41,35,6,38.8,1690720,1490/582929,Germany,ABC, 
Helicobacter pylori 19-A-EK3,582936,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/415/GCF_006338415.1_ASM633841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/415/GCA_006338415.1_ASM633841v1,1.70638,1702,67,40,34,6,38.7,1706376,1520/582936,Germany,ABC,s1 m1
Helicobacter pylori 19-C-EK1,582925,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/405/GCF_006337405.1_ASM633740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/405/GCA_006337405.1_ASM633740v1,1.70936,1707,70,41,35,6,38.7,1709363,1523/582925,Germany,ABCC,s1 m1
Helicobacter pylori 2017,163545,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/315/GCF_000192315.1_ASM19231v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/315/GCA_000192315.1_ASM19231v1,1.54824,1595,2,38,35,3,39.3,1548238,1367/163545,,AB,s1 m1
Helicobacter pylori 2018,163546,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/335/GCF_000192335.1_ASM19233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/335/GCA_000192335.1_ASM19233v1,1.56283,1604,0,38,35,3,39.3,1562832,1375/163546,,AB,s1 m1
Helicobacter pylori 20-A-EK1,582935,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/285/GCF_006338285.1_ASM633828v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/285/GCA_006338285.1_ASM633828v1,1.59966,1615,42,41,35,6,39.1,1599658,1417/582935,Germany,ABC, 
Helicobacter pylori 21-A-EK1,582934,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/145/GCF_006338145.1_ASM633814v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/145/GCA_006338145.1_ASM633814v1,1.58213,1574,31,41,35,6,39,1582133,1426/582934,Germany,,s2 m2
Helicobacter pylori 21-F-EK1,582924,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/385/GCF_006337385.1_ASM633738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/385/GCA_006337385.1_ASM633738v1,1.58334,1578,36,41,35,6,39,1583343,1424/582924,Germany,,s2 m2
Helicobacter pylori 23-A-EK1,582933,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1,1.67916,1650,67,41,35,6,38.8,1679162,1505/582933,Germany,AC,s1 m2
Helicobacter pylori 24-A-EK1,590132,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/875/GCF_006337875.1_ASM633787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/875/GCA_006337875.1_ASM633787v1,1.6595,1639,57,40,34,6,38.9,1659500,1477/590132,Germany,ABC,s1 m2
Helicobacter pylori 25-A-EK1,582942,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/235/GCF_006339235.1_ASM633923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/235/GCA_006339235.1_ASM633923v1,1.54021,1530,43,40,34,6,39.1,1540214,1392/582942,Germany,,s2 m2
Helicobacter pylori 25-A-EK9,582923,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/365/GCF_006337365.1_ASM633736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/365/GCA_006337365.1_ASM633736v1,1.54014,1533,45,40,34,6,39.2,1540135,1390/582923,Germany,,s2 m2
Helicobacter pylori 26695,299772,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1,1.66787,1687,86,40,34,6,38.9,1667867,1445/299772,United Kingdom,ABC,s1 m1
Helicobacter pylori 26-A-EK1,582931,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/745/GCF_006337745.1_ASM633774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/745/GCA_006337745.1_ASM633774v1,1.64342,1679,61,41,35,6,38.9,1643421,1467/582931,Germany,ABC,s1 m1
