Name,NCBI Genome,RefSeq FTP,GenBank FTP,Size (Mb)
Helicobacter pylori 13-A-EK8,582937,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/545/GCF_006338545.1_ASM633854v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/545/GCA_006338545.1_ASM633854v1,1.6193
Helicobacter pylori 169-A-EK5,582930,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/625/GCF_006337625.1_ASM633762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/625/GCA_006337625.1_ASM633762v1,1.61019
Helicobacter pylori 169-C-EK8,582922,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/345/GCF_006337345.1_ASM633734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/345/GCA_006337345.1_ASM633734v1,1.61163
Helicobacter pylori 173-A-EK1,582929,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/485/GCF_006337485.1_ASM633748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/485/GCA_006337485.1_ASM633748v1,1.69072
Helicobacter pylori 19-A-EK3,582936,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/415/GCF_006338415.1_ASM633841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/415/GCA_006338415.1_ASM633841v1,1.70638
Helicobacter pylori 19-C-EK1,582925,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/405/GCF_006337405.1_ASM633740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/405/GCA_006337405.1_ASM633740v1,1.70936
Helicobacter pylori 2017,163545,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/315/GCF_000192315.1_ASM19231v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/315/GCA_000192315.1_ASM19231v1,1.54824
Helicobacter pylori 2018,163546,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/335/GCF_000192335.1_ASM19233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/335/GCA_000192335.1_ASM19233v1,1.56283
Helicobacter pylori 20-A-EK1,582935,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/285/GCF_006338285.1_ASM633828v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/285/GCA_006338285.1_ASM633828v1,1.59966
Helicobacter pylori 21-A-EK1,582934,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/145/GCF_006338145.1_ASM633814v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/145/GCA_006338145.1_ASM633814v1,1.58213
Helicobacter pylori 21-F-EK1,582924,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/385/GCF_006337385.1_ASM633738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/385/GCA_006337385.1_ASM633738v1,1.58334
Helicobacter pylori 23-A-EK1,582933,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1,1.67916
Helicobacter pylori 24-A-EK1,590132,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/875/GCF_006337875.1_ASM633787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/875/GCA_006337875.1_ASM633787v1,1.6595
Helicobacter pylori 25-A-EK1,582942,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/235/GCF_006339235.1_ASM633923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/235/GCA_006339235.1_ASM633923v1,1.54021
